file name,x,y,bounce
000_0000.jpg,599,423,0
000_0001.jpg,601,406,0
000_0002.jpg,601,388,0
000_0003.jpg,598,371,0
000_0004.jpg,598,353,0
000_0005.jpg,597,337,0
000_0006.jpg,596,323,0
000_0007.jpg,595,310,0
000_0008.jpg,594,299,0
000_0009.jpg,594,288,0
000_0010.jpg,593,278,0
000_0011.jpg,592,271,0
000_0012.jpg,591,265,0
000_0013.jpg,590,259,0
000_0014.jpg,590,257,0
000_0015.jpg,589,253,0
000_0016.jpg,587,252,0
000_0017.jpg,586,252,0
000_0018.jpg,585,252,0
000_0019.jpg,585,255,0
000_0020.jpg,584,258,0
000_0021.jpg,583,263,0
000_0022.jpg,583,269,0
000_0023.jpg,581,276,0
000_0024.jpg,581,286,0
000_0025.jpg,580,294,0
000_0026.jpg,616,282,0
000_0027.jpg,655,265,0
000_0028.jpg,683,255,0
000_0029.jpg,709,246,0
000_0030.jpg,743,238,0
000_0031.jpg,760,234,0
000_0032.jpg,770,233,0
000_0033.jpg,779,233,1
000_0034.jpg,789,210,0
000_0035.jpg,795,191,0
000_0036.jpg,801,173,0
000_0037.jpg,806,156,0
000_0038.jpg,813,143,0
000_0039.jpg,817,132,0
000_0040.jpg,819,124,0
000_0041.jpg,822,117,0
000_0042.jpg,814,116,0
000_0043.jpg,806,116,0
000_0044.jpg,798,117,0
000_0045.jpg,790,116,0
000_0046.jpg,781,117,0
000_0047.jpg,771,119,0
000_0048.jpg,761,121,0
000_0049.jpg,750,124,0
000_0050.jpg,741,128,0
000_0051.jpg,732,131,0
000_0052.jpg,720,137,0
000_0053.jpg,712,142,0
000_0054.jpg,699,148,0
000_0055.jpg,687,154,0
000_0056.jpg,676,161,0
000_0057.jpg,669,167,0
000_0058.jpg,655,178,0
000_0059.jpg,643,188,0
000_0060.jpg,630,200,0
000_0061.jpg,618,210,0
000_0062.jpg,606,224,0
000_0063.jpg,592,236,0
000_0064.jpg,579,252,0
000_0065.jpg,563,268,0
000_0066.jpg,548,284,0
