game_id,x,y,v,a,bounce
0,599,423,0,0,0
0,601,406,17.11724276862369,17.11724276862369,0
0,601,388,18.0,0.8827572313763099,0
0,598,371,17.26267650163207,-0.7373234983679318,0
0,598,353,18.0,0.7373234983679318,0
0,597,337,16.0312195418814,-1.9687804581186015,0
0,596,323,14.035668847618199,-1.9955506942631995,0
0,595,310,13.038404810405298,-0.9972640372129007,0
0,594,299,11.045361017187261,-1.9930437932180372,0
0,594,288,11.0,-0.045361017187261155,0
0,593,278,10.04987562112089,-0.95012437887911,0
0,592,271,7.0710678118654755,-2.9788078092554144,0
0,591,265,6.082762530298219,-0.9883052815672562,0
0,590,259,6.082762530298219,0.0,0
0,590,257,2.0,-4.082762530298219,0
0,589,253,4.123105625617661,2.1231056256176606,0
0,587,252,2.23606797749979,-1.8870376481178708,0
0,586,252,1.0,-1.2360679774997898,0
0,585,252,1.0,0.0,0
0,585,255,3.0,2.0,0
0,584,258,3.1622776601683795,0.16227766016837952,0
0,583,263,5.0990195135927845,1.936741853424405,0
0,583,269,6.0,0.9009804864072155,0
0,581,276,7.280109889280518,1.280109889280518,0
0,581,286,10.0,2.719890110719482,0
0,580,294,8.06225774829855,-1.9377422517014509,0
0,616,282,37.94733192202055,29.885074173722003,0
0,655,265,42.5440947723653,4.596762850344746,0
0,683,255,29.732137494637012,-12.811957277728286,0
0,709,246,27.51363298439521,-2.2185045102418037,0
0,743,238,34.92849839314596,7.4148654087507495,0
0,760,234,17.46424919657298,-17.46424919657298,0
0,770,233,10.04987562112089,-7.414373575452089,0
0,779,233,9.0,-1.04987562112089,1
0,789,210,25.079872407968907,16.079872407968907,0
0,795,191,19.924858845171276,-5.155013562797631,0
0,801,173,18.973665961010276,-0.9511928841609993,0
0,806,156,17.72004514666935,-1.2536208143409269,0
0,813,143,14.7648230602334,-2.955222086435949,0
0,817,132,11.704699910719626,-3.0601231495137746,0
0,819,124,8.246211251235321,-3.4584886594843045,0
0,822,117,7.615773105863909,-0.6304381453714125,0
0,814,116,8.06225774829855,0.4464846424346405,0
0,806,116,8.0,-0.06225774829854913,0
0,798,117,8.06225774829855,0.06225774829854913,0
0,790,116,8.06225774829855,0.0,0
0,781,117,9.055385138137417,0.9931273898388682,0
0,771,119,10.198039027185569,1.1426538890481517,0
0,761,121,10.198039027185569,0.0,0
0,750,124,11.40175425099138,1.2037152238058102,0
0,741,128,9.848857801796104,-1.5528964491952753,0
0,732,131,9.486832980505138,-0.3620248212909658,0
0,720,137,13.416407864998739,3.9295748844936007,0
0,712,142,9.433981132056603,-3.9824267329421357,0
0,699,148,14.317821063276353,4.88383993121975,0
0,687,154,13.416407864998739,-0.9014131982776146,0
0,676,161,13.038404810405298,-0.3780030545934405,0
0,669,167,9.219544457292887,-3.8188603531124112,0
0,655,178,17.804493814764857,8.58494935747197,0
0,643,188,15.620499351813308,-2.1839944629515493,0
0,630,200,17.69180601295413,2.0713066611408237,0
0,618,210,15.620499351813308,-2.0713066611408237,0
0,606,224,18.439088914585774,2.818589562772466,0
0,592,236,18.439088914585774,0.0,0
0,579,252,20.615528128088304,2.1764392135025297,0
0,563,268,22.627416997969522,2.0118888698812185,0
0,548,284,21.93171219946131,-0.6957047985082134,0
0,535,303,23.021728866442675,1.0900166669813665,0
0,518,322,25.495097567963924,2.473368701521249,0
